DAC,0,1000,2000,3000,4000,4050,4070,4085,4090,4095
DCT 0,26,1029,2014,3008,4001,4052,4072,4089,4093,4095
DCT 1,26,1028,2016,3014,4011,4063,4083,4095,4095,4095
DCT 2,29,1032,2016,3017,4013,4063,4089,4095,4095,4095
DCT 3,27,1033,2025,3025,4018,4070,4074,4095,4095,4095
DCT 4,28,1033,2020,3015,4006,4054,4077,4089,4095,4095
DCT 5,29,1043,2025,3015,4010,4059,4085,4095,4095,4095
DCT 6,30,1027,2017,3004,4013,4066,4095,4095,4095,4095
HV Drift,20,1030,2030,3036,4041,4084,4091,4095,4095,4095
HV Gaiin,30,1034,2031,3027,4028,4073,4095,4095,4095,4095
HV Enable,33,1042,2024,3034,4034,4087,4095,4095,4095,4095
DCT Vac,22,1032,2028,3026,4022,4075,4095,4095,4095,4095
B Field State,27,1031,2017,3022,4020,4067,4091,4095,4095,4095
Bottom Stack,28,1029,2012,3016,4013,4062,4082,4095,4095,4095
SFC V,32,1030,2023,3019,4018,4069,4091,4095,4095,4095
HSK V,20,1038,2017,3022,4020,4074,4090,4095,4095,4095
RICH Temp N,28,1021,2005,3006,3998,4043,4066,4083,4087,4095
RICH Temp S,26,1027,2012,3010,4003,4054,4074,4090,4093,4095
ABS Air,28,1033,2031,3031,4033,4085,4095,4095,4095,4095
